Sch_Net_No,District Areas,Districts
11,CENTRAL,Hong Kong Island
11,THE PEAK,Hong Kong Island
11,SHEUNG WAN,Hong Kong Island
11,SAI YING PUN,Hong Kong Island
11,SHEK TONG TSUI,Hong Kong Island
11,KENNEDY TOWN,Hong Kong Island
12,WAN CHAI,Hong Kong Island
12,CAUSEWAY BAY ,Hong Kong Island
12,SO KON PO,Hong Kong Island
12,HAPPY VALLEY,Hong Kong Island
12,TAI HANG,Hong Kong Island
12,JARDINE’S LOOKOUT,Hong Kong Island
14,NORTH POINT,Hong Kong Island
14,QUARRY BAY,Hong Kong Island
14,LEI KING WAN,Hong Kong Island
16,SHAU KEI WAN,Hong Kong Island
16,SAI WAN HO,Hong Kong Island
16,SHEK O,Hong Kong Island
16,TAI LONG WAN,Hong Kong Island
16,HENG FA CHUEN,Hong Kong Island
16,CHAI WAN,Hong Kong Island
16,SIU SAI WAN,Hong Kong Island
18,POK FU LAM,Hong Kong Island
18,BAGUIO VILLA,Hong Kong Island
18,ABERDEEN,Hong Kong Island
18,TIN WAN ,Hong Kong Island
18,SHEK PAI WAN,Hong Kong Island
31,TSIM SHA TSUI,Kowloon
31,JORDAN ROAD,Kowloon
31,YAU MA TEI,Kowloon
31,KING’S PARK,Kowloon
32,MONG KOK,Kowloon
32,TAI KOK TSUI,Kowloon
34,TO KWA WAN,Kowloon
34,LOK MAN SUN CHUEN,Kowloon
34,MA TAU KOK,Kowloon
34,HILLVILLE TERRACE,Kowloon
34,HORAE PLACE,Kowloon
34,JUBILANT PLACE,Kowloon
34,SKY TOWER,Kowloon
34,OI MAN ESTATE,Kowloon
34,HO MAN TIN ESTATE,Kowloon
34,CHUN MAN COURT,Kowloon
34,DRAGON VIEW,Kowloon
34,CASCADES,Kowloon
34,KWUN HEI COURT,Kowloon
34,HO MAN TIN,Kowloon
34,MA TAU WAI ESTATE,Kowloon
34,CHUN SEEN MEI CHUEN,Kowloon
34,KADOORIE HILL,Kowloon
34,WATERLOO ROAD HILL,Kowloon
34,MAJESTIC PARK,Kowloon
34,PARC REGAL,Kowloon
34,GRAND WATERFRONT,Kowloon
34,KAI CHING ESTATE,Kowloon
34,TAK LONG ESTATE,Kowloon
35,HUNG HOM,Kowloon
35,TAI WAN SHAN,Kowloon
35,WHAMPOA ESTATE,Kowloon
35,WHAMPOA GARDEN,Kowloon
35,KA WAI CHUEN,Kowloon
35,LAGUNA VERDE,Kowloon
35,ROYAL PENINSULA,Kowloon
35,"HARBOURFRONT LANDMARK,",Kowloon
35,THE METROPOLIS RESIDENCE,Kowloon
40,LAI CHI KOK,Kowloon
40,CHEUNG SHA WAN,Kowloon
40,SHAM SHUI PO,Kowloon
40,SHEK KIP MEI,Kowloon
40,YAU YAT TSUEN,Kowloon
41,KOWLOON TONG,Kowloon
41,BEACON HILL ROAD,Kowloon
41,BROADCAST DRIVE,Kowloon
41,KOWLOON CITY,Kowloon
41,MEI TUNG ESTATE,Kowloon
43,TUNG TAU,Kowloon
